Comment,Description,Designator,Footprint,LibRef,Quantity,Case Code,Mouser No.

"C0603C475K9PAC7411","Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 4.7uF 0603 X5R 10%","C1, C4, C9, C11","Cap_4.7uF","Cap_4.7uF","4","","80-C0603C475K9P7411"
"C1608X5R0J106K080AE","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 6.3V 10uF X5R 10% Soft Term","C2, C6, C8, C13","Cap_10uF","Cap_10uF","4","","810-C1608X5R0J106KE"
"AC0603KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 10% 50V AEC-Q200","C3, C5, C10, C12, C14, C15, C21, C22, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C59, C74","Cap_0.1uF","Cap_0.1uF","28","","603-AC0603KR9BB104"
"C0402S471K3RACAUTO","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 470pF X7R 0402 10% AEC-Q200","C7","CAP_470pF","Cap_470pF","1","0603","80-C0402S471K3RAUTO"
"CC0402KPX5R6BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 10V X5R 10%","C16, C19, C23, C24, C44, C45, C46, C48, C49, C50, C51, C52, C53, C54, C55, C56, C62, C63, C64, C65, C66, C67, C68, C70, C72, C75, C76","CAP_0.1UF_0402","CAP_0.1uF_0402","27","0402","603-CC402KPX5R6BB104"
"C1005X5R0J475K050BC","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 6.3V 4.7uF X5R 10% T: 0.5mm","C17, C43, C58, C60, C61, C71","CAP_4.7uF_0402","Cap_4.7uF_0402","6","0402","810-C1005X5R0J475K"
"C0603C180K5RACAUTO","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 18pF 0603 X7R 10% AEC-Q200","C18, C20","CAP_18pF_0603","Cap_18pF_0603","2","0603","80-C0603C180K5RAUTO"
"C0402C682K5RECAUTO","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 6800pF X7R 0402 10% AEC-Q200","C47, C57, C69","CAP_6700pF_0402","Cap_6800pF_0402","3","0402","80-C0402C682K5RECAUT"
"PGB1010402KR","ESD Suppressors / TVS Diodes PULSEGUARD 0402 ESD SUPPRESSOR","D1, D2","ESD_Suppressor","ESD_Suppresor","2","0402","576-PGB1010402KR"
