Altium Designer Pick and Place Locations
C:\Users\Peter\Desktop\HoloBlade\PCB_Project_V2.1b\Project Outputs for USB_FPGA_SLM_v2\Pick Place for PCB_Rev1.1.txt

========================================================================================================================
File Design Information:

Date:       25/10/20
Time:       15:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                          Layer       Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                        
X3         ECS-3225S33-120-FN-TR            TopLayer    12MHzOscillator        63.6950      16.7980      360      "Standard Clock Oscillators 12MHz 3.3V 10ppm -40C +85C"                                                            
X2         ABM8G-30.000MHZ-18-D2Y-T         TopLayer    30MHzOscillatorV2      9.8890       18.2100      90       "Crystals 30.000MHz 18pF 30ppm -40C +85C"                                                                          
X1         DSC6101JI2A-024.0000             TopLayer    24MHzOscillator        58.0180      51.9795      90       "Standard Clock Oscillators MEMS Oscillator, Ultra Low Power, LVCMOS, -40C-85C, 25ppm, 2.5x2.0mm"                  
WR         "Header 3"                       TopLayer    HDR1X3                 8.1890       45.7510      180      "Header, 3-Pin"                                                                                                    
U10        TXS0108EPWR                      TopLayer    SOP65P640X120-20N      60.1870      44.3540      360      "Integrated Circuit"                                                                                               
U9         "MT25QL128ABA1ESE-0SIT TR"       TopLayer    Flash                  44.6470      16.1740      360      "NOR Flash SPI FLASH NOR SLC 32MX4 SOIC"                                                                           
U8         FT601Q-B-T                       TopLayer    FT601_NoGND_Pad        16.7885      26.1110      0        "USB Interface IC USB 3.0 Super-Speed 32Bits Sync FIFO"                                                            
U7         93LC56BT-E/MS                    TopLayer    EEPROM                 54.9370      29.1845      90       "EEPROM 128x16 for FT2232"                                                                                         
U6         FT2232HL-Reel                    TopLayer    LQFP-64_N              69.0660      26.3960      90       "Dual High Speed USB To Multipurpose UART/FIFO IC, 64-pin LQFP, Tape and Reel"                                     
U5         ICE40HX4K-TQ144                  TopLayer    LATC-TQFP-144_L        41.8530      51.2010      360      "iCE40 HX4K Series FPGA Family, 3520 Logic Cells, 1.2 V Core, 80 K Embedded RAM Bits, 144-pin TQFP, Pb-Free, Tray" 
U4         LM1117MP-2.5/NOPB                TopLayer    LM1117MP-2.5/NOPB      10.4413      74.9080      270      "LDO Voltage Regulators 800mA LDO Linear Reg"                                                                      
U3         MCP1700T-3302E/TT                TopLayer    MIC_LDO_3V3            78.5720      78.8680      90       "3.3v LDO Voltage Regulators 250mA Adj LDO 2%"                                                                     
U2         MIC5205YM5-TR                    TopLayer    MIC5205YM5             11.9180      86.3200      360      "LDO Voltage Regulators 150mA 1% Low Noise LDO"                                                                    
U1         MCP1700T-1202E/TT                TopLayer    MIC_LDO_1V2            79.0060      90.9530      270      "LDO Voltage Regulators 250mA Adj LDO 2%"                                                                          
TP9        Testpoint                        TopLayer    testpoint              44.8760      35.1650      90       "Testpoint for testing voltage"                                                                                    
TP8        Testpoint                        TopLayer    testpoint              43.0600      35.1650      90       "Testpoint for testing voltage"                                                                                    
TP6        testpoint                        TopLayer    testpoint              55.7820      90.8640      90       "Testpoint for testing voltage"                                                                                    
TP5        testpoint                        TopLayer    testpoint              28.3970      20.0610      90       "Testpoint for testing voltage"                                                                                    
TP4        testpoint                        TopLayer    testpoint              11.7680      66.1310      90       "Testpoint for testing voltage"                                                                                    
TP3        testpoint                        TopLayer    testpoint              75.4150      75.8230      90       "Testpoint for testing voltage"                                                                                    
TP2        testpoint                        TopLayer    testpoint              20.1250      86.9980      90       "Testpoint for testing voltage"                                                                                    
TP1        testpoint                        TopLayer    testpoint              75.8340      92.1490      90       "Testpoint for testing voltage"                                                                                    
SIWU       "Header 3"                       TopLayer    HDR1X3                 8.2150       42.6250      180      "Header, 3-Pin"                                                                                                    
S1         "SKU : COM-00097SMT- SWCH-08247" TopLayer    TACTILE-PTH            76.4360      67.0420      0        ""                                                                                                                 
RST        "Header 3"                       TopLayer    HDR1X3                 8.1370       48.8230      180      "Header, 3-Pin"                                                                                                    
RN11       EXB-2HV330JV                     TopLayer    ResArray_0             53.8210      66.0790      90       "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN10       EXB-2HV330JV                     TopLayer    ResArray_0             40.1360      66.0790      90       "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN9        EXB-2HV330JV                     TopLayer    ResArray_0             44.7480      66.0790      90       "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN8        EXB-2HV330JV                     TopLayer    RESARRAY_0             26.5810      24.1670      360      "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN7        EXB-2HV330JV                     TopLayer    RESARRAY_0             26.5810      28.6160      360      "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN6        EXB-2HV330JV                     TopLayer    ResArray_0             49.2870      66.0790      90       "Resistor Networks & Arrays 33 OHM 5%"                                                                             
RN5        EXB-2HV330JV                     TopLayer    RESARRAY_0             9.8720       35.2790      90       "Resistor Networks & Arrays 33 OHM 5%"                                                                             
